交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度,最近捷運站出口,距離(公尺),類別
房地(土地+建物),延平北路五段５０號九樓,9.0,9.0,1,43.4,553039,0.0,,25.080185,121.511019,圓山站出口2,1309,有電梯_7樓以上
房地(土地+建物)+車位,文德路２１０巷３０弄１００號八樓之１,8.0,19.0,1,38.6,787891,8.77,0.0,25.076408,121.584807,文德站出口2,217,有電梯_7樓以上
房地(土地+建物)+車位,松江路４２８號十三樓,13.0,15.0,1,61.27,956966,11.95,0.0,25.065279,121.532976,行天宮站出口4,546,有電梯_7樓以上
房地(土地+建物),汀州路三段６０巷２弄２號八樓之１,8.0,21.0,1,46.83,764419,0.0,,25.015412,121.530835,公館站出口4,282,有電梯_7樓以上
房地(土地+建物),逸仙路２６巷９號八樓,8.0,44.0,1,37.95,974848,0.0,,25.039707,121.562159,市政府站出口2,324,有電梯_7樓以上
房地(土地+建物)+車位,汀州路四段１９１號十一樓,11.0,11.0,1,77.8,656788,0.0,,25.003649,121.535826,萬隆站出口4,297,有電梯_7樓以上
房地(土地+建物)+車位,健康路３２５巷２５弄１０號十樓,10.0,1.0,1,54.73,1129584,12.06,0.0,25.05638,121.566473,南京三民站出口4,562,有電梯_7樓以上
房地(土地+建物),松山路２６０號十一樓,11.0,38.0,1,20.99,709847,0.0,,25.044135,121.577452,永春站出口5,363,有電梯_7樓以上
房地(土地+建物),建國北路二段１０９號十一樓,11.0,36.0,1,37.26,730022,0.0,,25.059293,121.53732,行天宮站出口3,401,有電梯_7樓以上
房地(土地+建物)+車位,大業路４６０號十三樓,13.0,25.0,1,37.85,597161,0.0,,25.13187,121.496372,北投站出口1,183,有電梯_7樓以上
房地(土地+建物)+車位,麗山街５９號十二樓,12.0,10.0,1,85.86,997211,13.15,0.0,25.081324,121.580526,港墘站出口1,494,有電梯_7樓以上
房地(土地+建物),延壽街３３２號九樓之３,9.0,13.0,1,63.99,875168,0.0,,25.056447,121.559878,南京三民站出口1,631,有電梯_7樓以上
房地(土地+建物)+車位,汀州路一段３５０號十五樓之２,15.0,2.0,1,56.54,919948,11.7,256410.0,25.026296,121.512699,中正紀念堂站出口2,881,有電梯_7樓以上
房地(土地+建物),興隆路三段１３７號十樓之５,10.0,14.0,1,10.94,749861,0.0,,24.998332,121.55878,萬芳醫院站出口,157,有電梯_7樓以上
房地(土地+建物),金龍路２２２巷１６號十樓之６,10.0,28.0,1,11.31,698469,0.0,,25.087985,121.585356,內湖站出口1,1014,有電梯_7樓以上
房地(土地+建物),文林路７６３號十樓之２,10.0,41.0,1,21.79,463536,0.0,,25.103191,121.519026,芝山站出口2,341,有電梯_7樓以上
房地(土地+建物)+車位,芝玉路一段２２６號十三樓之２,13.0,13.0,1,72.54,774264,9.25,324324.0,25.10904,121.534286,芝山站出口2,1335,有電梯_7樓以上
