交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度,最近捷運站出口,距離(公尺),類別
房地(土地+建物),福興路４６巷２弄５號,1.0,,0,20.75,481823,0.0,,25.003351,121.551183,辛亥站出口,620,無電梯_4樓以下
房地(土地+建物),明德路３３３巷２２號,1.0,49.0,0,28.53,816807,0.0,,25.116449,121.518978,石牌站出口1,410,無電梯_4樓以下
房地(土地+建物),溫州街５８巷８號二樓,2.0,,0,3.45,696567,0.0,,25.020624,121.532676,台電大樓站出口2,364,無電梯_4樓以下
房地(土地+建物),文林北路２６４號三樓,3.0,51.0,0,22.31,582637,0.0,,25.109161,121.513283,明德站出口3,537,無電梯_4樓以下
房地(土地+建物),和平東路三段３０８巷１弄２號三樓,3.0,,0,11.51,521418,0.0,,25.020101,121.55641,麟光站出口,280,無電梯_4樓以下
房地(土地+建物),成功路三段１８７巷２３號,1.0,42.0,0,26.08,766738,0.0,,25.079757,121.591703,內湖站出口1,513,無電梯_4樓以下
房地(土地+建物),安泰街８６巷３號三樓,3.0,42.0,0,27.02,407163,0.0,,25.076421,121.616576,葫洲站出口1,961,無電梯_4樓以下
房地(土地+建物),木新路三段３１０巷６弄４號二樓,2.0,,0,33.08,411183,0.0,,24.981664,121.557077,大坪林站出口5,1404,無電梯_4樓以下
房地(土地+建物),中山北路六段４１９巷３７號,1.0,37.0,0,41.68,527852,0.0,,25.115007,121.526321,明德站出口2,945,無電梯_4樓以下
房地(土地+建物),內湖路三段６０巷１２弄５９號二樓,2.0,38.0,0,27.2,349216,0.0,,25.088876,121.592011,內湖站出口1,614,無電梯_4樓以下
房地(土地+建物),永興路一段３７號二樓,2.0,44.0,0,23.46,458131,0.0,,25.139329,121.500179,新北投站出口2,360,無電梯_4樓以下
房地(土地+建物)+車位,民權東路六段１９０巷２１弄３１號二樓,2.0,7.0,0,14.14,784757,3.94,0.0,25.067826,121.59531,葫洲站出口2,1307,無電梯_4樓以下
房地(土地+建物),大道路４２巷１８號二樓,2.0,47.0,0,29.11,611547,0.0,,25.041382,121.581271,後山埤站出口2,265,無電梯_4樓以下
房地(土地+建物),忠孝東路六段２７８巷５弄１號,1.0,39.0,0,30.81,967232,0.0,,25.048929,121.589532,昆陽站出口1,357,無電梯_4樓以下
房地(土地+建物),艋舺大道３８８巷７號二樓,2.0,50.0,0,23.73,379201,0.0,,25.030805,121.494385,龍山寺站出口2,726,無電梯_4樓以下
房地(土地+建物),忠孝東路三段２５１巷７弄２之１號,2.0,53.0,0,32.95,846627,0.0,,25.04291,121.541762,忠孝復興站出口1,186,無電梯_4樓以下
