交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度,最近捷運站出口,距離(公尺),類別
房地(土地+建物),新生北路二段７３號七樓之２,7.0,46.0,1,5.38,965736,0.0,,25.056717,121.52786,行天宮站出口1,545,有電梯_7樓以下
房地(土地+建物),松江路７７巷１０號六樓,6.0,48.0,1,77.57,850812,0.0,,25.049658,121.534131,松江南京站出口3,203,有電梯_7樓以下
房地(土地+建物),和平西路三段３８４號三樓之１８,3.0,44.0,1,10.04,542831,0.0,,25.035338,121.491277,龍山寺站出口1,832,有電梯_7樓以下
房地(土地+建物),大度路三段２０５號六樓,6.0,34.0,1,27.54,609965,0.0,,25.122798,121.468173,關渡站出口1,308,有電梯_7樓以下
房地(土地+建物)+車位,星雲街１６８巷１１號,1.0,29.0,1,57.21,576774,0.0,,25.080725,121.596963,內湖站出口2,401,有電梯_7樓以下
房地(土地+建物),南京東路三段３３５巷１３號五樓之１,5.0,39.0,1,19.38,1021452,0.0,,25.052938,121.547499,南京復興站出口6,281,有電梯_7樓以下
房地(土地+建物),大湖山莊街２１９巷３４弄３號五樓之１,5.0,33.0,1,13.15,759130,0.0,,25.089614,121.599568,大湖公園站出口1,696,有電梯_7樓以下
房地(土地+建物)+車位,環河南路一段１０１號七樓之１,7.0,11.0,1,105.9,721216,22.02,0.0,25.04347,121.5009,西門站出口6,682,有電梯_7樓以下
房地(土地+建物),和平西路三段３８４號六樓之１５,6.0,44.0,1,6.81,513777,0.0,,25.035338,121.491277,龍山寺站出口1,832,有電梯_7樓以下
房地(土地+建物)+車位,松平路８０號三樓,3.0,17.0,1,23.75,951609,0.0,,25.030347,121.566341,台北101/世貿站出口4,374,有電梯_7樓以下
房地(土地+建物),致遠一路一段７８號五樓,5.0,11.0,1,15.91,958246,0.0,,25.109082,121.515681,明德站出口3,304,有電梯_7樓以下
房地(土地+建物)+車位,奇岩路１０號二樓之５,2.0,12.0,1,36.2,544180,11.4,0.0,25.133726,121.507402,新北投站出口1,531,有電梯_7樓以下
房地(土地+建物),港墘路１２７巷１６弄１１號三樓,3.0,28.0,1,13.49,937839,0.0,,25.077919,121.577385,港墘站出口1,293,有電梯_7樓以下
房地(土地+建物)+車位,新富街５９號三樓之２,3.0,15.0,1,98.88,884729,21.03,0.0,25.059294,121.584072,松山站出口5,1160,有電梯_7樓以下
房地(土地+建物),南京東路五段２９１巷１９弄３９號二樓,2.0,30.0,1,12.52,876965,0.0,,25.052515,121.567517,南京三民站出口4,301,有電梯_7樓以下
房地(土地+建物)+車位,辛亥路四段７７巷１９號,1.0,28.0,1,45.01,555371,0.0,,25.007729,121.5598,辛亥站出口,403,有電梯_7樓以下
房地(土地+建物)+車位,新富街１６０號四樓,4.0,13.0,1,118.21,977488,38.41,0.0,25.060854,121.585665,昆陽站出口2,1368,有電梯_7樓以下
房地(土地+建物)+車位,嘉興街３１２號三樓之１,3.0,31.0,1,29.45,577164,0.0,,25.023475,121.554634,六張犁站出口,196,有電梯_7樓以下
房地(土地+建物)+車位,安和路一段２１巷２６號五樓之１,5.0,35.0,1,57.14,735048,0.0,,25.039393,121.551664,忠孝敦化站出口3,217,有電梯_7樓以下
房地(土地+建物)+車位,敦化南路二段１５４巷３號五樓,5.0,40.0,1,41.66,926130,0.0,,25.025198,121.548044,科技大樓站出口,457,有電梯_7樓以下
房地(土地+建物),和平西路一段１４３號五樓,5.0,46.0,1,25.07,677988,0.0,,25.027573,121.515496,中正紀念堂站出口2,605,有電梯_7樓以下
房地(土地+建物)+車位,塔悠路２１７號二樓,2.0,30.0,1,51.71,802517,0.0,,25.059067,121.569289,南京三民站出口4,951,有電梯_7樓以下
房地(土地+建物),中山北路二段１２８巷９號四樓之１,4.0,13.0,1,16.94,973854,0.0,,25.061837,121.521529,民權西路站出口8,136,有電梯_7樓以下
房地(土地+建物),士東路８９巷１３號二樓之４,2.0,30.0,1,11.36,836352,0.0,,25.11251,121.528529,明德站出口1,1009,有電梯_7樓以下
