交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度,最近捷運站出口,距離(公尺),類別
房地(土地+建物),秀明路一段１８５巷３４弄３１號,,34.0,0,24.79,564816,0.0,,24.992775,121.56949,萬芳社區站出口,655,樓層未顯示或多層樓
房地(土地+建物),進賢路１２號,,35.0,0,96.88,451672,0.0,,25.141121,121.504381,新北投站出口1,470,樓層未顯示或多層樓
建物,仁民路９號,,37.0,0,201.13,9944,0.0,,25.133933,121.544384,石牌站出口1,3612,樓層未顯示或多層樓
房地(土地+建物)+車位,瑞光路１１２巷５８弄６號,,26.0,0,77.14,593699,0.0,,25.070761,121.579976,文德站出口2,964,樓層未顯示或多層樓
房地(土地+建物),奇岩路２５９巷９號,,69.0,0,32.0,903170,0.0,,25.128156,121.512287,唭哩岸站出口1,989,樓層未顯示或多層樓
房地(土地+建物),虎林街１００巷９１號,,63.0,0,19.33,1008809,0.0,,25.042951,121.575123,永春站出口1,217,樓層未顯示或多層樓
房地(土地+建物),中山北路二段５０巷３１號,,,0,66.67,1599726,0.0,,25.056304,121.521306,雙連站出口1,151,樓層未顯示或多層樓
建物,行義路１８６巷１１弄６號,,51.0,0,159.21,25125,0.0,,25.133401,121.529447,石牌站出口1,2499,樓層未顯示或多層樓
房地(土地+建物),和平東路四段１０１巷２弄１號,,43.0,0,61.95,503592,0.0,,25.005458,121.567998,萬芳社區站出口,766,樓層未顯示或多層樓
房地(土地+建物)+車位,辛亥路四段１０１巷１４０弄３５號,,44.0,0,59.64,519805,0.0,,25.006784,121.561958,辛亥站出口,531,樓層未顯示或多層樓
房地(土地+建物),辛亥路五段１１８巷１３號,,46.0,0,30.78,942283,0.0,,24.997358,121.551427,萬芳醫院站出口,675,樓層未顯示或多層樓
房地(土地+建物),武成街１０８巷１２號,,51.0,0,20.09,492881,0.0,,25.020344,121.494358,中原站出口,1678,樓層未顯示或多層樓
房地(土地+建物)+車位,內湖路二段１７９巷６１弄９號,,27.0,0,79.11,859599,0.0,,25.08487,121.58514,文德站出口1,691,樓層未顯示或多層樓
建物,通化街３９巷４９弄４號,,37.0,0,44.92,232407,0.0,,25.030919,121.555458,信義安和站出口4,313,樓層未顯示或多層樓
房地(土地+建物),公路３３４巷１２號,,52.0,0,47.98,997864,0.0,,25.132303,121.502681,北投站出口2,379,樓層未顯示或多層樓
房地(土地+建物)+車位,木柵路四段１５９巷１６弄１６號,,32.0,0,106.53,463464,13.75,0.0,25.003007,121.576669,動物園站出口1,619,樓層未顯示或多層樓
房地(土地+建物),大湖街１５８巷９號,,31.0,0,104.21,660966,0.0,,25.083743,121.599893,大湖公園站出口2,233,樓層未顯示或多層樓
房地(土地+建物),吉利街３７６號,,61.0,0,18.72,1522790,0.0,,25.117625,121.512747,石牌站出口1,389,樓層未顯示或多層樓
房地(土地+建物),武成街１２５巷４弄８號,,63.0,0,20.26,567581,0.0,,25.019794,121.493959,中原站出口,1605,樓層未顯示或多層樓
房地(土地+建物),研究院路二段１８２巷１１３號,,44.0,0,40.43,630782,0.0,,25.035899,121.612737,南港站出口2,1871,樓層未顯示或多層樓
房地(土地+建物),永吉路２２５巷１弄１３號,,,0,15.39,2014933,0.0,,25.045918,121.574567,松山站出口2,502,樓層未顯示或多層樓
房地(土地+建物),雙園街１０６巷１９號,,,0,21.91,871867,0.0,,25.030568,121.492543,龍山寺站出口2,888,樓層未顯示或多層樓
房地(土地+建物),吳興街５８３巷７弄２８號,,54.0,0,11.89,883226,0.0,,25.022196,121.570216,象山站出口2,1132,樓層未顯示或多層樓
