交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度,最近捷運站出口,距離(公尺),類別
房地(土地+建物),內湖路一段１巷３弄９號五樓,5.0,45.0,0,28.75,700011,0.0,,25.085415,121.558644,劍南路站出口3,287,無電梯_4樓以上
房地(土地+建物),承德路四段６巷５３號四樓,4.0,58.0,0,4.0,333135,0.0,,25.079891,121.5197,劍潭站出口2,633,無電梯_4樓以上
房地(土地+建物),永吉路１２０巷４３弄１之１號四樓,4.0,51.0,0,26.17,840585,0.0,,25.044364,121.570404,市政府站出口4,474,無電梯_4樓以上
房地(土地+建物),基隆路一段１１巷１０弄１２號五樓,5.0,48.0,0,23.76,475623,0.0,,25.048742,121.569936,南京三民站出口3,610,無電梯_4樓以上
房地(土地+建物),吉林路３５２號四樓,4.0,50.0,0,24.15,848806,0.0,,25.063677,121.530209,中山國小站出口3,339,無電梯_4樓以上
房地(土地+建物),東明街６２號四樓,4.0,41.0,0,15.41,454270,0.0,,25.054989,121.602999,南港站出口1,481,無電梯_4樓以上
房地(土地+建物),酒泉街１４０號四樓之１,4.0,53.0,0,22.4,781247,0.0,,25.071988,121.51242,圓山站出口2,775,無電梯_4樓以上
房地(土地+建物),萬大路３２９巷２７弄１７號五樓,5.0,44.0,0,31.79,408899,0.0,,25.024201,121.501273,龍山寺站出口2,1222,無電梯_4樓以上
房地(土地+建物),重慶北路三段１５２巷１４號四樓,4.0,40.0,0,22.19,608428,0.0,,25.068079,121.512957,大橋頭站出口3,485,無電梯_4樓以上
房地(土地+建物),民權東路六段４７巷１０弄１２號四樓,4.0,41.0,0,26.84,596108,0.0,,25.069507,121.58722,文德站出口2,1019,無電梯_4樓以上
房地(土地+建物),承德路四段４０巷７３號六樓之３,5.0,54.0,0,10.77,499119,0.0,,25.081435,121.521106,劍潭站出口2,420,無電梯_4樓以上
房地(土地+建物),興隆路三段２０７巷１５弄１１號五樓,5.0,43.0,0,41.17,297766,0.0,,24.995313,121.562284,萬芳醫院站出口,644,無電梯_4樓以上
房地(土地+建物),麗山街３３８巷９號四樓,4.0,43.0,0,40.21,489452,0.0,,25.082437,121.573481,港墘站出口2,291,無電梯_4樓以上
房地(土地+建物),南京東路六段１３８號四樓,4.0,49.0,0,24.61,502958,0.0,,25.055019,121.578456,松山站出口5,501,無電梯_4樓以上
房地(土地+建物),中社路一段４３巷２號四樓,4.0,49.0,0,31.38,430151,0.0,,25.108502,121.560309,劍南路站出口1,2608,無電梯_4樓以上
房地(土地+建物),木柵路二段１０９巷２８號五樓,5.0,37.0,0,46.29,464448,0.0,,24.990706,121.563392,萬芳社區站出口,1011,無電梯_4樓以上
房地(土地+建物),內湖路三段１８７巷２５號四樓,4.0,46.0,0,20.76,664722,0.0,,25.087414,121.588382,內湖站出口1,719,無電梯_4樓以上
房地(土地+建物),松山路４６５巷２７弄１２號四樓,4.0,53.0,0,22.99,882994,0.0,,25.040466,121.579146,永春站出口5,260,無電梯_4樓以上
房地(土地+建物),行義路１８６巷２６弄２３號五樓,5.0,40.0,0,31.64,308140,0.0,,25.131612,121.5293,石牌站出口1,2330,無電梯_4樓以上
房地(土地+建物),松江路４３１巷１１號四樓,4.0,47.0,0,27.51,701581,0.0,,25.065666,121.534226,行天宮站出口4,602,無電梯_4樓以上
房地(土地+建物),內湖路一段７３７巷３３弄１２號四樓,4.0,34.0,0,32.26,638471,0.0,,25.079641,121.579541,港墘站出口1,381,無電梯_4樓以上
房地(土地+建物),南京東路五段１２３巷４弄８號四樓,4.0,59.0,0,33.04,696211,0.0,,25.052446,121.561158,南京三民站出口1,225,無電梯_4樓以上
房地(土地+建物),青年路１６８巷２弄６４號四樓,4.0,50.0,0,11.59,517743,0.0,,25.01992,121.501344,頂溪站出口2,1556,無電梯_4樓以上
房地(土地+建物),通河街４７號四樓,4.0,45.0,0,20.94,605568,0.0,,25.080188,121.522651,劍潭站出口2,403,無電梯_4樓以上
房地(土地+建物),石牌路一段１６６巷９４號四樓,4.0,48.0,0,21.99,691359,0.0,,25.112315,121.515031,石牌站出口2,182,無電梯_4樓以上
房地(土地+建物),中山北路六段７５４巷１４之１號五樓,5.0,46.0,0,33.64,603485,0.0,,25.115221,121.528768,明德站出口2,1165,無電梯_4樓以上
房地(土地+建物),泉源路３９之３１號六樓,6.0,43.0,0,37.59,339144,0.0,,25.141441,121.50715,新北投站出口1,617,無電梯_4樓以上
房地(土地+建物),吉林路３２９巷２０號四樓,4.0,47.0,0,27.58,870040,0.0,,25.063857,121.531145,行天宮站出口4,431,無電梯_4樓以上
