交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度,最近捷運站出口,距離(公尺)
房地(土地+建物),市民大道三段１６９號十三樓之３,13.0,15.0,1,20.81,634158,0.0,,25.044811,121.540648,忠孝復興站出口1,419
房地(土地+建物),吳興街２８４巷２０號四樓,4.0,49.0,0,28.63,611342,0.0,,25.023956,121.563294,麟光站出口,764
房地(土地+建物),和平東路三段３４６巷２１號三樓,3.0,,0,13.82,470498,0.0,,25.018933,121.557457,麟光站出口,123
房地(土地+建物),延平北路八段２巷５５弄２０號二樓,2.0,61.0,0,21.17,368465,0.0,,25.105583,121.486351,三民高中站出口2,2565
房地(土地+建物),文化三路７１號五樓,5.0,37.0,1,35.49,450879,0.0,,25.139827,121.49828,新北投站出口2,536
房地(土地+建物),建國北路三段８０巷１號八樓,8.0,35.0,1,41.12,627451,0.0,,25.065685,121.535673,行天宮站出口4,650
房地(土地+建物),星雲街１６８巷４３號七樓之２,7.0,26.0,1,18.21,768916,0.0,,25.080177,121.59724,內湖站出口2,467
房地(土地+建物),雙園街６７巷３弄１號四樓,4.0,51.0,0,12.15,362188,0.0,,25.030299,121.494297,龍山寺站出口2,770
房地(土地+建物),仁愛路四段２６６巷１５弄２０號六樓,6.0,42.0,1,39.23,943055,0.0,,25.03654,121.5541,信義安和站出口5,362
房地(土地+建物)+車位,新明路３１２巷２之６號,1.0,9.0,1,87.78,680128,40.76,0.0,25.055588,121.581714,松山站出口5,685
房地(土地+建物),和平東路三段４１６巷５號七樓,7.0,37.0,1,42.12,629109,0.0,,25.017919,121.559045,麟光站出口,83
房地(土地+建物),雙園街６７巷３弄１號三樓,3.0,51.0,0,12.15,362188,0.0,,25.030299,121.494297,龍山寺站出口2,770
建物,西昌街２９巷５號二樓,2.0,52.0,0,14.54,116885,0.0,,25.042772,121.500882,西門站出口1,677
房地(土地+建物)+車位,濟南路二段１５號五樓之５,5.0,16.0,1,19.96,937370,5.55,360360.0,25.041298,121.527651,善導寺站出口5,435
房地(土地+建物),木柵路二段１１５號,1.0,,0,23.23,1144974,0.0,,24.988993,121.561944,萬芳醫院站出口,1231
房地(土地+建物)+車位,興隆路四段２之５號十三樓,13.0,6.0,1,87.3,572880,8.44,0.0,24.990408,121.559251,萬芳醫院站出口,1010
房地(土地+建物)+車位,民權東路六段４２５號十樓,10.0,14.0,1,102.31,874190,13.66,402635.0,25.071313,121.604066,葫洲站出口2,343
房地(土地+建物)+車位,民權東路六段１２３巷２７號二樓,2.0,14.0,1,29.39,791332,4.11,364964.0,25.069938,121.593029,文德站出口1,1223
房地(土地+建物),安泰街１２９巷５號三樓,3.0,42.0,0,30.29,396140,0.0,,25.077717,121.617085,葫洲站出口1,1077
房地(土地+建物)+車位,天母西路１１７巷６３號二樓之２,2.0,25.0,1,16.76,679182,0.0,,25.121918,121.524754,石牌站出口1,1230
房地(土地+建物),福德街１３７巷７號四樓,4.0,50.0,0,28.26,672412,0.0,,25.037111,121.582978,後山埤站出口2,742
房地(土地+建物),奇岩路３７巷２號二樓,2.0,37.0,1,17.87,279725,0.0,,25.132737,121.507302,新北投站出口1,605
房地(土地+建物),瑞安街２０６號七樓,7.0,45.0,1,24.13,932317,0.0,,25.028064,121.54062,科技大樓站出口,371
房地(土地+建物),江南街７１巷６５弄９號七樓,7.0,39.0,1,31.54,491508,0.0,,25.075981,121.578915,港墘站出口1,558
房地(土地+建物)+車位,新豐街５８號十三樓,13.0,13.0,1,98.91,831062,17.12,0.0,25.060211,121.583273,松山站出口5,1207
房地(土地+建物)+車位,忠孝東路五段７４３巷２１弄２１號五樓,5.0,7.0,1,40.28,791503,0.0,,25.043766,121.580254,後山埤站出口1,137
房地(土地+建物),內湖路二段１０３巷７６號一樓,1.0,40.0,1,26.84,968675,0.0,,25.083144,121.580965,港墘站出口1,619
房地(土地+建物),星雲街７２號三樓,3.0,42.0,0,30.85,540594,0.0,,25.078875,121.592611,內湖站出口2,566
房地(土地+建物),景華街１２８巷３弄２６號四樓,4.0,41.0,0,31.07,476348,0.0,,24.995554,121.547952,景美站出口2,705
房地(土地+建物),豐年路二段８０號二樓,2.0,45.0,0,22.49,444685,0.0,,25.135917,121.495526,北投站出口1,477
房地(土地+建物),景華街１３巷６之１號,1.0,40.0,1,46.61,701625,0.0,,24.99544,121.542365,景美站出口2,277
房地(土地+建物),信義路三段１３４巷４３號四樓,4.0,35.0,1,51.06,817732,0.0,,25.030085,121.539508,大安站出口2,448
房地(土地+建物)+車位,三民路８０巷３號四樓之１,4.0,18.0,1,67.63,731958,0.0,,25.056576,121.564083,南京三民站出口1,557
房地(土地+建物),逸仙路３２巷１３號二樓,2.0,41.0,1,50.76,886588,0.0,,25.039913,121.562543,市政府站出口2,280
房地(土地+建物)+車位,明水路３９７巷７弄４９號五樓,5.0,29.0,1,71.56,831813,11.45,0.0,25.078203,121.550389,大直站出口3,367
房地(土地+建物)+車位,延平北路五段７１號八樓,8.0,6.0,1,35.19,687274,13.36,0.0,25.080679,121.510582,圓山站出口2,1379
房地(土地+建物),景豐街７２號三樓,3.0,16.0,1,38.02,667523,0.0,,25.001055,121.545572,萬隆站出口2,608
房地(土地+建物),忠順街一段４１巷１８號,1.0,1.0,1,21.91,684523,0.0,,24.984838,121.558624,大坪林站出口5,1569
房地(土地+建物),遼寧街１０１巷１號二樓,2.0,21.0,1,12.91,875244,0.0,,25.050397,121.542337,南京復興站出口2,158
房地(土地+建物),建國南路二段１１巷１４號,1.0,38.0,1,29.32,1016536,0.0,,25.032737,121.538658,大安森林公園站出口5,278
房地(土地+建物),福德街４０５號十三樓,13.0,25.0,1,38.86,604796,0.0,,25.040372,121.591808,後山埤站出口3,1015
房地(土地+建物),中華路二段５０４巷３５號十樓,10.0,44.0,1,18.1,711540,0.0,,25.024884,121.508754,小南門站出口3,1181
房地(土地+建物)+車位,中央北路三段２２０巷１９號二樓,2.0,12.0,1,83.56,490804,16.32,0.0,25.136717,121.479909,復興崗站出口2,530
