交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度
房地(土地+建物),市民大道三段１６９號十三樓之３,13.0,15.0,有,20.81,634158,0.0,,25.044811,121.540648
房地(土地+建物),吳興街２８４巷２０號四樓,4.0,49.0,無,28.63,611342,0.0,,25.023956,121.563294
房地(土地+建物),和平東路三段３４６巷２１號三樓,3.0,,無,13.82,470498,0.0,,25.018933,121.557457
房地(土地+建物),延平北路八段２巷５５弄２０號二樓,2.0,61.0,無,21.17,368465,0.0,,25.105583,121.486351
房地(土地+建物),文化三路７１號五樓,5.0,37.0,有,35.49,450879,0.0,,25.139827,121.49828
房地(土地+建物),建國北路三段８０巷１號八樓,8.0,35.0,有,41.12,627451,0.0,,25.065685,121.535673
房地(土地+建物),星雲街１６８巷４３號七樓之２,7.0,26.0,有,18.21,768916,0.0,,25.080177,121.59724
房地(土地+建物),雙園街６７巷３弄１號四樓,4.0,51.0,無,12.15,362188,0.0,,25.030299,121.494297
房地(土地+建物),仁愛路四段２６６巷１５弄２０號六樓,6.0,42.0,有,39.23,943055,0.0,,25.03654,121.5541
房地(土地+建物)+車位,新明路３１２巷２之６號,1.0,9.0,有,87.78,680128,40.76,0.0,25.055588,121.581714
房地(土地+建物),和平東路三段４１６巷５號七樓,7.0,37.0,有,42.12,629109,0.0,,25.017919,121.559045
房地(土地+建物),雙園街６７巷３弄１號三樓,3.0,51.0,無,12.15,362188,0.0,,25.030299,121.494297
建物,西昌街２９巷５號二樓,2.0,52.0,無,14.54,116885,0.0,,25.042772,121.500882
房地(土地+建物)+車位,濟南路二段１５號五樓之５,5.0,16.0,有,19.96,937370,5.55,360360.0,25.041298,121.527651
房地(土地+建物),木柵路二段１１５號,1.0,,無,23.23,1144974,0.0,,24.988993,121.561944
房地(土地+建物)+車位,興隆路四段２之５號十三樓,13.0,6.0,有,87.3,572880,8.44,0.0,24.990408,121.559251
房地(土地+建物)+車位,民權東路六段４２５號十樓,10.0,14.0,有,102.31,874190,13.66,402635.0,25.071313,121.604066
房地(土地+建物)+車位,民權東路六段１２３巷２７號二樓,2.0,14.0,有,29.39,791332,4.11,364964.0,25.069938,121.593029
房地(土地+建物),安泰街１２９巷５號三樓,3.0,42.0,無,30.29,396140,0.0,,25.077717,121.617085
房地(土地+建物)+車位,天母西路１１７巷６３號二樓之２,2.0,25.0,有,16.76,679182,0.0,,25.121918,121.524754
房地(土地+建物),福德街１３７巷７號四樓,4.0,50.0,無,28.26,672412,0.0,,25.037111,121.582978
房地(土地+建物),奇岩路３７巷２號二樓,2.0,37.0,有,17.87,279725,0.0,,25.132737,121.507302
房地(土地+建物),瑞安街２０６號七樓,7.0,45.0,有,24.13,932317,0.0,,25.028064,121.54062
房地(土地+建物),江南街７１巷６５弄９號七樓,7.0,39.0,有,31.54,491508,0.0,,25.075981,121.578915
房地(土地+建物)+車位,新豐街５８號十三樓,13.0,13.0,有,98.91,831062,17.12,0.0,25.060211,121.583273
房地(土地+建物)+車位,忠孝東路五段７４３巷２１弄２１號五樓,5.0,7.0,有,40.28,791503,0.0,,25.043766,121.580254
房地(土地+建物),內湖路二段１０３巷７６號一樓,1.0,40.0,有,26.84,968675,0.0,,25.083144,121.580965
房地(土地+建物),星雲街７２號三樓,3.0,42.0,無,30.85,540594,0.0,,25.078875,121.592611
房地(土地+建物),景華街１２８巷３弄２６號四樓,4.0,41.0,無,31.07,476348,0.0,,24.995554,121.547952
房地(土地+建物),豐年路二段８０號二樓,2.0,45.0,無,22.49,444685,0.0,,25.135917,121.495526
房地(土地+建物),景華街１３巷６之１號,1.0,40.0,有,46.61,701625,0.0,,24.99544,121.542365
房地(土地+建物),信義路三段１３４巷４３號四樓,4.0,35.0,有,51.06,817732,0.0,,25.030085,121.539508
房地(土地+建物)+車位,三民路８０巷３號四樓之１,4.0,18.0,有,67.63,731958,0.0,,25.056576,121.564083
房地(土地+建物),逸仙路３２巷１３號二樓,2.0,41.0,有,50.76,886588,0.0,,25.039913,121.562543
房地(土地+建物)+車位,明水路３９７巷７弄４９號五樓,5.0,29.0,有,71.56,831813,11.45,0.0,25.078203,121.550389
房地(土地+建物)+車位,延平北路五段７１號八樓,8.0,6.0,有,35.19,687274,13.36,0.0,25.080679,121.510582
