鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,屋齡,年度
文山區,房地(土地+建物),福興路４６巷２弄５號,22.5,住,,,1110206,土地1建物1車位0,一層，平台,四層,公寓(5樓含以下無電梯),住家用,,68.61,2,1,1,有,無,10000000,145751.0,,0.0,0,,RPXNMLLKKHHGFAA37EA,68.61,0.0,0.0,無,,,111
大安區,房地(土地+建物),溫州街５８巷８號二樓,4.45,住,,,1110217,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,,11.39,3,2,2,有,無,2400000,210711.0,,0.0,0,,RPWNMLLJLHHGFFA67DA,11.39,0.0,0.0,無,,,111
大安區,房地(土地+建物),和平東路三段３０８巷１弄２號三樓,14.0,住,,,1110216,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,,38.04,2,1,1,有,無,6000000,157729.0,,0.0,0,,RPPOMLLJLHHGFFA07DA,38.04,0.0,0.0,無,,,111
文山區,房地(土地+建物),木新路三段３１０巷６弄４號二樓,43.73,住,,,1110212,土地1建物1車位0,二層，陽台,三層,公寓(5樓含以下無電梯),住家用,,109.34,3,2,1,有,無,13600000,124383.0,,0.0,0,其他增建；,RPPOMLRJLHHGFAA27EA,109.34,0.0,0.0,無,,,111
文山區,房地(土地+建物),羅斯福路五段２１１巷２６弄１號四樓,34.75,住,,,1110111,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,,105.24,3,2,1,有,無,13500000,128278.0,,0.0,0,頂樓加蓋；,RPTNMLQLJHHGFAA37DA,105.24,0.0,0.0,無,,,111
文山區,房地(土地+建物),辛亥路四段１６６巷２６弄４之４號二樓,25.25,住,,,1110106,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,,73.41,3,2,1,有,無,10000000,136221.0,,0.0,0,,RPQNMLQJKHHGFAA96DA,73.41,0.0,0.0,無,,,111
萬華區,房地(土地+建物),德昌街１８５巷１２弄３４號,38.5,住,,,1110107,土地2建物1車位0,一層,二層,公寓(5樓含以下無電梯),住家用,,44.1,1,1,1,有,無,7000000,158730.0,,0.0,0,其他增建；,RPPPMLRJKHHGFBA27DA,44.1,0.0,0.0,無,,,111
文山區,房地(土地+建物),興隆路四段１６５巷１４號五樓,27.6,住,,,1110101,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,,96.33,3,2,2,有,無,12180000,126440.0,,0.0,0,陽台外推；其他增建；,RPTOMLLLJHHGFAA96DA,86.1,0.0,10.23,無,,,111
文山區,房地(土地+建物),興隆路二段９６巷２弄９號五樓,28.8,住,,,1110120,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,,97.91,3,2,2,有,無,15000000,153202.0,,0.0,0,陽台外推；頂樓加蓋；其他增建；,RPSNMLOKKHHGFAA07DA,85.23,0.0,12.68,無,,,111
文山區,房地(土地+建物),福興路４巷１５弄２號五樓,23.4,住,,,1110102,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,,73.11,2,2,1,有,無,10360000,141704.0,,0.0,0,陽台外推；,RPVPMLPKKHHGFAA67DA,63.58,0.0,9.53,無,355.0,,111
信義區,房地(土地+建物),信義路五段１５０巷３４２弄３１號三樓,42.5,住,,,1110109,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,,99.47,4,1,4,有,有,19850000,199558.0,,0.0,0,其他增建；,RPXNMLSLJHHGFDA28DA,99.47,0.0,0.0,無,,,111
中正區,房地(土地+建物),羅斯福路三段８４巷１２弄４之２號四樓,20.25,住,,,1110107,土地2建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,,63.23,3,1,1,有,無,14350000,226949.0,,0.0,0,陽台外推；頂樓加蓋；,RPVOMLKKKHHGFAA07DA,63.23,0.0,0.0,無,,,111
信義區,房地(土地+建物),大道路２０號,29.0,住,,,1110104,土地1建物1車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),住家用,,79.09,2,2,1,有,無,27300000,345176.0,,0.0,0,其他增建；,RPXOMLTKJHHGFDA38DA,79.09,0.0,0.0,無,,,111
大安區,房地(土地+建物),復興南路二段２９２號十樓,15.46,住,,,1110116,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,,125.74,3,2,2,有,有,32580000,259106.0,,0.0,0,現況有部分（電）樓梯間面積被更改為本戶室內專用陽台外推；其他增建；,RPTOMLOLKHHGFFA87DA,88.71,0.0,19.86,有,,,111
文山區,房地(土地+建物),木新路三段２３２巷１０號四樓,37.17,住,,,1110111,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,,97.18,3,2,1,有,無,14780000,152089.0,,0.0,0,頂樓加蓋；其他增建；,RPPNMLQLKHHGFAA07DA,84.51,0.0,12.67,無,,,111
信義區,房地(土地+建物),林口街１２２號四樓,38.5,住,,,1110112,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,,80.52,3,1,1,有,無,17350000,215474.0,,0.0,0,其他增建；,RPSOMLQLJIGGFDA77EA,80.52,0.0,0.0,無,,,111
大安區,房地(土地+建物),溫州街６４號六樓之５,12.38,住,,,1110120,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,,42.3,1,1,1,有,有,11600000,274232.0,,0.0,0,,RPSOMLSJKHHGFFA97DA,37.2,0.0,5.1,有,,,111
南港區,房地(土地+建物),忠孝東路六段２７８巷３５弄１３號,31.33,住,,,1110118,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),住家用,,54.0,3,2,1,有,無,15600000,288889.0,,0.0,0,,RPSOMLRJLHHGFDA87EA,54.0,0.0,0.0,無,,,111
大安區,房地(土地+建物),溫州街４９巷４號,57.25,住,,,1110117,土地2建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,,98.96,3,2,2,有,無,35000000,353678.0,,0.0,0,,RPPNMLSJLHHGFFA77EA,98.96,0.0,0.0,無,,,111
信義區,房地(土地+建物),松信路１９號三樓,25.53,住,,,1101211,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,,72.38,5,0,4,有,無,15200000,210003.0,,0.0,0,陽台外推；,RPUOMLNLKIGGFDA77EA,72.38,0.0,0.0,無,,,111
南港區,房地(土地+建物),南港路一段１７１巷２０號二樓,24.25,住,,,1101222,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,,93.15,3,2,1,有,無,15000000,161031.0,,0.0,0,,RPVRMLKKKIGGFDA77EA,93.15,0.0,0.0,無,,,111
大安區,房地(土地+建物),市民大道四段６４號五樓之３,17.29,住,,,1101212,土地1建物1車位0,五層，陽台,七層,華廈(10層含以下有電梯),住家用,,69.75,3,2,1,有,有,21000000,301075.0,,0.0,0,,RPPOMLOLKIGGFFA47DA,69.75,0.0,0.0,有,734.0,,111
文山區,房地(土地+建物),和興路６巷１弄６號四樓,32.5,住,,,1101220,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,,102.95,3,2,2,有,無,12680000,123167.0,,0.0,0,原買賣金額1368萬，買賣雙方因房屋瑕疵問題折讓100萬給買方，更正為1268萬陽台外推；,RPUOMLKKJHHGFAA86DA,89.98,0.0,12.97,無,,,111
大同區,房地(土地+建物),環河北路二段２０５巷２４號,110.0,住,,,1101220,土地2建物1車位0,全,二層,透天厝,住家用,,131.19,5,2,2,有,無,30000000,228676.0,,0.0,0,陽台外推；頂樓加蓋；其他增建；,RPOPMLNJJHHGFBA66DA,131.19,0.0,0.0,無,,,111
文山區,房地(土地+建物),指南路二段４５巷２３號四樓,27.0,住,,,1101224,土地1建物1車位0,四層，騎樓,四層,公寓(5樓含以下無電梯),住家用,,95.17,3,2,1,有,無,10000000,105075.0,,0.0,0,頂樓加蓋；,RPQNMLMKJHHGFAA66EA,95.17,0.0,0.0,無,,,111
南港區,房地(土地+建物),南港路二段１２２號四樓,6.17,住,,,1101228,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,,15.68,2,2,2,有,無,1730000,110332.0,,0.0,0,陽台外推；,RPUPMLNLKIGGFDA87EA,13.4,0.0,2.28,無,,,111
松山區,房地(土地+建物),市民大道五段６５號四樓,28.25,住,,,1101222,土地1建物1車位0,四層，露台,四層,公寓(5樓含以下無電梯),住家用,,95.32,3,1,1,有,無,19000000,199329.0,,0.0,0,,RPPNMLOKJHHGFDA96DA,95.32,0.0,0.0,無,,,111
大安區,房地(土地+建物),杭州南路二段９３巷１之７號,30.0,住,,,1101211,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,,57.8,3,2,1,有,無,19200000,332180.0,,0.0,0,其他增建；,RPRNMLTLKIGGFFA08DA,57.8,0.0,0.0,無,863.0,,111
南港區,房地(土地+建物),忠孝東路六段２７８巷２２弄６號二樓,25.0,住,,,1101224,土地1建物1車位0,二層，陽台,三層,公寓(5樓含以下無電梯),住家用,,59.28,2,1,1,有,無,12000000,202429.0,,0.0,0,,RPQQMLPJJHHGFDA47EA,59.28,0.0,0.0,無,869.0,,111
文山區,房地(土地+建物),育英街５７巷１８號三樓,49.17,住,,,1101220,土地1建物1車位0,三層，陽台,三層,公寓(5樓含以下無電梯),住家用,,85.69,3,2,1,有,無,10100000,117867.0,,0.0,0,,RPVNMLKLJHHGFAA07EA,85.69,0.0,0.0,無,,,111
南港區,房地(土地+建物),合順街８巷５弄４號四樓,21.25,住,,,1101212,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,,77.0,3,4,2,有,無,10000000,129870.0,,0.0,0,頂樓加蓋；其他增建；,RPPNMLNJJHHGFDA76DA,77.0,0.0,0.0,無,,,111
文山區,房地(土地+建物),一壽街４號,22.25,住,,,1101224,土地1建物1車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),住家用,,61.63,0,0,1,有,無,15500000,251501.0,,0.0,0,壹樓法定空地其他增建；,RPXNMLKLJHHGFAA17DA,61.63,0.0,0.0,無,,,111
中正區,房地(土地+建物),中華路二段３１５巷２５號二樓,10.49,住,,,1101202,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,,25.63,1,0,1,有,無,4500000,175575.0,,0.0,0,陽台外推；,RPSOMLSJKIGGFAA47DA,24.0,0.0,1.63,無,,,111
南港區,房地(土地+建物),福山街５６巷３號二樓,20.0,住,,,1101209,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,,71.52,4,0,2,有,無,10300000,144016.0,,0.0,0,其他增建:陽台。其他增建；含租約；,RPQNMLOLKIGGFDA27DA,64.66,0.0,6.86,無,1000.0,,111
松山區,房地(土地+建物),寶清街１０１巷４１號四樓,38.57,住,,,1101213,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,,114.0,4,2,2,有,無,20300000,178070.0,,0.0,0,陽台外推；頂樓加蓋；其他增建；,RPQPMLKMKIGGFDA17DA,114.0,0.0,0.0,無,1013.0,,111
信義區,房地(土地+建物),吳興街３５９之７號四樓,33.37,住,,,1101211,土地3建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,,93.77,7,0,7,有,無,18580000,198144.0,,0.0,0,陽台外推；頂樓加蓋；其他增建；,RPWOMLOKKIGGFDA87DA,93.77,0.0,0.0,無,,,111
大安區,房地(土地+建物),瑞安街２０８巷２５弄１２號,44.93,住,,,1101201,土地2建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,,114.96,4,2,2,有,無,36510000,317589.0,,0.0,0,其他增建；,RPUNMLRLJHHGFFA18EA,114.96,0.0,0.0,無,,,111
中正區,房地(土地+建物),辛亥路一段７巷５號二樓,52.5,住,,,1101228,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,,151.45,4,2,2,有,無,32070000,211753.0,,0.0,0,,RPUNMLSLJHHGFAA67DA,136.99,0.0,14.46,無,,,111
